Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,24.743610000000004
1,2040-2059,25.094503187499992
1,2060-2079,25.451970062500003
1,2080-2099,25.87397225
2,2020-2039,24.4103285625
2,2040-2059,24.7562889375
2,2060-2079,25.096268875
2,2080-2099,25.48865875
3,2020-2039,24.504579749999998
3,2040-2059,24.832516937500003
3,2060-2079,25.18976975
3,2080-2099,25.594518
4,2020-2039,24.921002437499997
4,2040-2059,25.244472437500004
4,2060-2079,25.6122041875
4,2080-2099,26.012525562500002
5,2020-2039,25.484138125
5,2040-2059,25.782622875000005
5,2060-2079,26.1535523125
5,2080-2099,26.5440356875
6,2020-2039,26.0210445
6,2040-2059,26.355188875000003
6,2060-2079,26.723808125
6,2080-2099,27.139394062500003
7,2020-2039,26.530216874999997
7,2040-2059,26.874236
7,2060-2079,27.266732687500003
7,2080-2099,27.681531187499996
8,2020-2039,26.9992804375
8,2040-2059,27.3635369375
8,2060-2079,27.779702875
8,2080-2099,28.2076955625
9,2020-2039,27.21184075
9,2040-2059,27.5870636875
9,2060-2079,28.010385249999995
9,2080-2099,28.465177062500004
10,2020-2039,27.0157884375
10,2040-2059,27.385174999999997
10,2060-2079,27.794839
10,2080-2099,28.245589312499998
11,2020-2039,26.419573000000003
11,2040-2059,26.768799874999996
11,2060-2079,27.180482312499997
11,2080-2099,27.598571875000005
12,2020-2039,25.52661075
12,2040-2059,25.894285125000003
12,2060-2079,26.259519312500004
12,2080-2099,26.6791221875
