Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,1.257749121875
1,2040-2059,1.730997874375
1,2060-2079,2.2246100675
1,2080-2099,2.6875153684999997
2,2020-2039,1.449331479375
2,2040-2059,1.90999933125
2,2060-2079,2.2822045805
2,2080-2099,2.6746660662499995
3,2020-2039,2.67989485875
3,2040-2059,3.1470725687499996
3,2060-2079,3.4737617437499995
3,2080-2099,3.89091218125
4,2020-2039,5.203062081250001
4,2040-2059,5.732244250000001
4,2060-2079,5.8242258125
4,2080-2099,6.511914093750001
5,2020-2039,8.684139924999998
5,2040-2059,9.21042075
5,2060-2079,9.569745793749998
5,2080-2099,10.107545406249999
6,2020-2039,12.44688828125
6,2040-2059,12.8541398125
6,2060-2079,13.253006375000004
6,2080-2099,13.861771625000001
7,2020-2039,14.430073937500001
7,2040-2059,15.0430481875
7,2060-2079,15.5528175
7,2080-2099,16.497079624999998
8,2020-2039,13.601553593749998
8,2040-2059,14.295911375
8,2060-2079,14.9597500625
8,2080-2099,15.826695375
9,2020-2039,10.797080600000001
9,2040-2059,11.5535597875
9,2060-2079,12.001945975000002
9,2080-2099,12.7245930125
10,2020-2039,7.430760651250001
10,2040-2059,7.844052581250001
10,2060-2079,8.175655731249998
10,2080-2099,8.794586825000001
11,2020-2039,4.305068899999999
11,2040-2059,4.8066048781249995
11,2060-2079,4.992317311250001
11,2080-2099,5.804532316875
12,2020-2039,2.294460715625
12,2040-2059,2.9752142749999995
12,2060-2079,3.1975333062500004
12,2080-2099,3.9627702187500002
