Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,5.51307366875
1,2040-2059,6.09652724375
1,2060-2079,6.470322215624999
1,2080-2099,6.838084437500001
2,2020-2039,5.589707574999999
2,2040-2059,6.0727530624999995
2,2060-2079,6.596806356250001
2,2080-2099,6.780265259375001
3,2020-2039,6.918376270625001
3,2040-2059,7.4100350850000005
3,2060-2079,7.8767651106250005
3,2080-2099,8.27124965625
4,2020-2039,9.655206856249999
4,2040-2059,10.23000915
4,2060-2079,10.526327768749999
4,2080-2099,11.071286125
5,2020-2039,13.310173031249997
5,2040-2059,13.767321406250002
5,2060-2079,14.32023134375
5,2080-2099,15.01630803125
6,2020-2039,17.6673024375
6,2040-2059,18.1992401875
6,2060-2079,18.812677125
6,2080-2099,19.46712
7,2020-2039,20.7231825
7,2040-2059,21.379384875
7,2060-2079,22.00630225
7,2080-2099,22.7964453125
8,2020-2039,20.5868758125
8,2040-2059,21.211287312499994
8,2060-2079,22.0145929375
8,2080-2099,22.966425
9,2020-2039,17.223211375
9,2040-2059,17.855058999999997
9,2060-2079,18.4476364375
9,2080-2099,19.27924459375
10,2020-2039,13.14689428125
10,2040-2059,13.661007775000002
10,2060-2079,14.019899093749999
10,2080-2099,14.821670687500001
11,2020-2039,9.502779125000002
11,2040-2059,9.88955951875
11,2060-2079,10.333749668749999
11,2080-2099,11.059008924999999
12,2020-2039,6.798760187500001
12,2040-2059,7.402636724999998
12,2060-2079,7.7707785625
12,2080-2099,8.41294855
