Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,-2.177347559625
1,2040-2059,-1.3649337759374998
1,2060-2079,-0.9071770987499999
1,2080-2099,-0.3336534474999999
2,2020-2039,-1.7549600485624999
2,2040-2059,-1.120681273125
2,2060-2079,-0.4456943902500002
2,2080-2099,-0.06338047581250009
3,2020-2039,0.49988070250000005
3,2040-2059,1.18476638125
3,2060-2079,1.6435061318750002
3,2080-2099,2.014695033125
4,2020-2039,4.484991743749999
4,2040-2059,5.15937179375
4,2060-2079,5.389704500000001
4,2080-2099,6.0088167775
5,2020-2039,9.37302220625
5,2040-2059,9.8110146875
5,2060-2079,10.399676712500002
5,2080-2099,10.842427793750002
6,2020-2039,13.64916116875
6,2040-2059,14.237347562500002
6,2060-2079,14.7749249375
6,2080-2099,15.292717031250001
7,2020-2039,15.73856225
7,2040-2059,16.44512371875
7,2060-2079,16.975313625
7,2080-2099,17.689777437499995
8,2020-2039,14.433311937499997
8,2040-2059,15.121647625
8,2060-2079,15.874501000000002
8,2080-2099,16.6278650625
9,2020-2039,10.793491218750003
9,2040-2059,11.417024231249998
9,2060-2079,11.930203093749999
9,2080-2099,12.666425943750001
10,2020-2039,6.499618196875
10,2040-2059,7.085420193749998
10,2060-2079,7.423795540624999
10,2080-2099,8.111417218749999
11,2020-2039,2.4796015
11,2040-2059,3.02002366875
11,2060-2079,3.351834625
11,2080-2099,4.0846712187500005
12,2020-2039,-0.6496802068750002
12,2040-2059,0.3883641079375001
12,2060-2079,0.5608722125000001
12,2080-2099,1.5184814693750002
