Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,8.660521393749999
1,2040-2059,9.063351093749999
1,2060-2079,9.390693206249999
1,2080-2099,10.044013106250002
2,2020-2039,9.253075493749998
2,2040-2059,9.59191838125
2,2060-2079,10.149949725
2,2080-2099,10.570671987499999
3,2020-2039,11.116155475
3,2040-2059,11.576467562500001
3,2060-2079,12.074970312500001
3,2080-2099,12.5755869375
4,2020-2039,13.985485375000001
4,2040-2059,14.4907051625
4,2060-2079,14.972691531250002
4,2080-2099,15.536462087500002
5,2020-2039,17.2852604375
5,2040-2059,17.82432825
5,2060-2079,18.3854723125
5,2080-2099,19.10182275
6,2020-2039,21.1241579375
6,2040-2059,21.742496437500005
6,2060-2079,22.341704156250003
6,2080-2099,23.0028708125
7,2020-2039,23.905904687499998
7,2040-2059,24.564619625000002
7,2060-2079,25.156779124999996
7,2080-2099,25.862894062500004
8,2020-2039,24.6527090625
8,2040-2059,25.305630187500004
8,2060-2079,25.967095000000008
8,2080-2099,26.634326875
9,2020-2039,22.425259875000002
9,2040-2059,23.155535500000003
9,2060-2079,23.776207749999998
9,2080-2099,24.620069437499996
10,2020-2039,18.591910187499998
10,2040-2059,19.1519873125
10,2060-2079,19.7850156875
10,2080-2099,20.6645865
11,2020-2039,13.701040343750002
11,2040-2059,14.167468456250003
11,2060-2079,14.8268998125
11,2080-2099,15.4994634375
12,2020-2039,9.9147713125
12,2040-2059,10.43096103125
12,2060-2079,11.00169943125
12,2080-2099,11.602821249999998
