Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,28.313124437499997
1,2040-2059,28.656681062500002
1,2060-2079,29.030975562499997
1,2080-2099,29.41774525
2,2020-2039,28.361945562500004
2,2040-2059,28.698120000000003
2,2060-2079,29.077434999999994
2,2080-2099,29.462529625000002
3,2020-2039,28.439499312500004
3,2040-2059,28.7468013125
3,2060-2079,29.1300681875
3,2080-2099,29.52331225
4,2020-2039,28.4114123125
4,2040-2059,28.769513937499994
4,2060-2079,29.162950250000005
4,2080-2099,29.538254500000004
5,2020-2039,28.171758749999995
5,2040-2059,28.507415375
5,2060-2079,28.929555187499997
5,2080-2099,29.309891812500002
6,2020-2039,27.63465275
6,2040-2059,27.948022499999993
6,2060-2079,28.343081937500003
6,2080-2099,28.792821500000002
7,2020-2039,27.129355625
7,2040-2059,27.4211246875
7,2060-2079,27.810783312500003
7,2080-2099,28.258691437500005
8,2020-2039,26.900679437499996
8,2040-2059,27.1736921875
8,2060-2079,27.5839918125
8,2080-2099,28.025533312500002
9,2020-2039,26.989034499999995
9,2040-2059,27.285624625
9,2060-2079,27.663632375
9,2080-2099,28.088935625000005
10,2020-2039,27.235076562499998
10,2040-2059,27.5504758125
10,2060-2079,27.9286485
10,2080-2099,28.3639945
11,2020-2039,27.6320244375
11,2040-2059,27.958942937500005
11,2060-2079,28.353687437499996
11,2080-2099,28.7428490625
12,2020-2039,28.064299124999998
12,2040-2059,28.372507624999997
12,2060-2079,28.7644208125
12,2080-2099,29.162144124999998
