Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,21.0091758125
1,2040-2059,21.336537375
1,2060-2079,21.9477294375
1,2080-2099,22.434843812499995
2,2020-2039,21.4683740625
2,2040-2059,21.831157625
2,2060-2079,22.408540125000002
2,2080-2099,22.967719812499997
3,2020-2039,22.658333749999997
3,2040-2059,23.05176375
3,2060-2079,23.6518114375
3,2080-2099,24.245748999999996
4,2020-2039,24.017120937500003
4,2040-2059,24.473767312499994
4,2060-2079,25.041622437499996
4,2080-2099,25.6077886875
5,2020-2039,24.7739734375
5,2040-2059,25.2191945625
5,2060-2079,25.730282562499998
5,2080-2099,26.325563499999994
6,2020-2039,24.58425825
6,2040-2059,25.003298124999997
6,2060-2079,25.5267775625
6,2080-2099,26.094158625
7,2020-2039,23.835357125
7,2040-2059,24.239189437500002
7,2060-2079,24.707706312500004
7,2080-2099,25.2522671875
8,2020-2039,23.6858303125
8,2040-2059,24.101266875
8,2060-2079,24.554229125000003
8,2080-2099,25.0667256875
9,2020-2039,23.879394500000004
9,2040-2059,24.325036062499994
9,2060-2079,24.755392249999996
9,2080-2099,25.264909
10,2020-2039,23.3629005
10,2040-2059,23.825837312500003
10,2060-2079,24.302452499999998
10,2080-2099,24.846724687499997
11,2020-2039,22.533600625
11,2040-2059,22.915188562500006
11,2060-2079,23.450558874999995
11,2080-2099,23.986991625
12,2020-2039,21.474504812500005
12,2040-2059,21.8997565
12,2060-2079,22.4094320625
12,2080-2099,22.905897875000004
