Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,1.4926195893749998
1,2040-2059,2.13603644625
1,2060-2079,2.47363108125
1,2080-2099,2.841846029375
2,2020-2039,1.81004709
2,2040-2059,2.4474908712500003
2,2060-2079,2.8565997187499996
2,2080-2099,3.0691585375000003
3,2020-2039,3.4614058875000002
3,2040-2059,4.1098529500000005
3,2060-2079,4.504961187499999
3,2080-2099,4.89935153125
4,2020-2039,6.640214195625
4,2040-2059,7.314226378125
4,2060-2079,7.61042380625
4,2080-2099,8.22393900625
5,2020-2039,10.593718875
5,2040-2059,11.253220418749999
5,2060-2079,11.816300124999998
5,2080-2099,12.50983125
6,2020-2039,14.996289593749998
6,2040-2059,15.62461634375
6,2060-2079,16.287498968749997
6,2080-2099,16.986696812500004
7,2020-2039,17.628115249999993
7,2040-2059,18.407153374999996
7,2060-2079,19.150326250000003
7,2080-2099,20.076885249999997
8,2020-2039,16.90619990625
8,2040-2059,17.8354404375
8,2060-2079,18.660899875000002
8,2080-2099,19.6533366875
9,2020-2039,13.467302974999999
9,2040-2059,14.28316178125
9,2060-2079,14.948689812499998
9,2080-2099,15.738266718750001
10,2020-2039,9.253897100000001
10,2040-2059,9.911385375000002
10,2060-2079,10.282823225
10,2080-2099,11.029426475
11,2020-2039,5.414595375
11,2040-2059,5.9761415
11,2060-2079,6.24840518125
11,2080-2099,7.006096225
12,2020-2039,2.6331542781249997
12,2040-2059,3.3581351075000003
12,2060-2079,3.63745741875
12,2080-2099,4.424273487500001
