Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,-15.087396562500002
1,2040-2059,-14.5614713125
1,2060-2079,-13.55440690625
1,2080-2099,-12.88379965625
2,2020-2039,-13.651392875
2,2040-2059,-12.919844156249999
2,2060-2079,-12.13465424375
2,2080-2099,-11.200401993749999
3,2020-2039,-9.17808791875
3,2040-2059,-8.46932945
3,2060-2079,-7.522058362499998
3,2080-2099,-6.7995453125
4,2020-2039,-3.3496628376875
4,2040-2059,-2.8224278449999995
4,2060-2079,-1.9788569168749996
4,2080-2099,-1.31371255
5,2020-2039,1.9880106025000002
5,2040-2059,2.6342207625
5,2060-2079,3.2487736224999995
5,2080-2099,3.9578921625000003
6,2020-2039,6.624371536875
6,2040-2059,7.167555014375
6,2060-2079,8.09184771875
6,2080-2099,8.81962515625
7,2020-2039,9.4134977125
7,2040-2059,9.9402345875
7,2060-2079,10.972684637500002
7,2080-2099,11.6939560625
8,2020-2039,8.5260797375
8,2040-2059,9.139098581249998
8,2060-2079,10.111430087499999
8,2080-2099,10.7634856
9,2020-2039,3.9385980312499997
9,2040-2059,4.5402786312500005
9,2060-2079,5.3584061062499995
9,2080-2099,6.16582490625
10,2020-2039,-1.6957019376875
10,2040-2059,-1.0517917104374999
10,2060-2079,-0.2285125493750001
10,2080-2099,0.4555912406250001
11,2020-2039,-7.41075856875
11,2040-2059,-6.97473414375
11,2060-2079,-6.063349518749999
11,2080-2099,-5.355659394375
12,2020-2039,-12.847574218750001
12,2040-2059,-12.235770143750003
12,2060-2079,-11.003336856249998
12,2080-2099,-10.3821988125
