Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,14.27839421875
1,2040-2059,14.577247437499999
1,2060-2079,15.0984693125
1,2080-2099,15.7494975
2,2020-2039,15.86352578125
2,2040-2059,16.2210615
2,2060-2079,16.539146125000002
2,2080-2099,17.118824406250003
3,2020-2039,18.671419812499998
3,2040-2059,19.05400975
3,2060-2079,19.473427437500003
3,2080-2099,20.1117745625
4,2020-2039,21.997783187499998
4,2040-2059,22.375413687500004
4,2060-2079,22.870921499999998
4,2080-2099,23.40959875
5,2020-2039,24.046033875000003
5,2040-2059,24.470213749999996
5,2060-2079,25.039308812499996
5,2080-2099,25.547427874999997
6,2020-2039,24.614659937499997
6,2040-2059,25.023600750000004
6,2060-2079,25.5906880625
6,2080-2099,26.1277583125
7,2020-2039,24.556283750000002
7,2040-2059,24.937841624999997
7,2060-2079,25.394666
7,2080-2099,25.898116187499998
8,2020-2039,24.3066114375
8,2040-2059,24.713297750000002
8,2060-2079,25.144470375
8,2080-2099,25.681138812500002
9,2020-2039,23.1078461875
9,2040-2059,23.5241498125
9,2060-2079,23.981065062499997
9,2080-2099,24.537132187500003
10,2020-2039,21.002555000000005
10,2040-2059,21.311447124999997
10,2060-2079,21.827849375
10,2080-2099,22.428570937499998
11,2020-2039,18.085807625
11,2040-2059,18.500888656249998
11,2060-2079,18.971614781250004
11,2080-2099,19.411090624999996
12,2020-2039,15.23429690625
12,2040-2059,15.610455406249997
12,2060-2079,16.082891843749998
12,2080-2099,16.703537000000004
