Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,17.833920749999997
1,2040-2059,18.345530375
1,2060-2079,18.827190625
1,2080-2099,19.501803187500002
2,2020-2039,18.05707315625
2,2040-2059,18.512360625000003
2,2060-2079,19.0383413125
2,2080-2099,19.646398
3,2020-2039,17.1517741875
3,2040-2059,17.619813625000003
3,2060-2079,18.065256499999997
3,2080-2099,18.687923812500003
4,2020-2039,14.460163812500003
4,2040-2059,14.95784084375
4,2060-2079,15.492925625
4,2080-2099,16.1413935625
5,2020-2039,10.618912481250002
5,2040-2059,11.03722429375
5,2060-2079,11.622376437499998
5,2080-2099,12.3386361875
6,2020-2039,7.697385837500001
6,2040-2059,8.256177056250001
6,2060-2079,8.69509526875
6,2080-2099,9.320333375
7,2020-2039,7.01635396
7,2040-2059,7.5130710275
7,2060-2079,8.017651412500001
7,2080-2099,8.68933445625
8,2020-2039,8.260096325000001
8,2040-2059,8.5109097125
8,2060-2079,9.07860535
8,2080-2099,9.773102312499999
9,2020-2039,10.491506999999999
9,2040-2059,10.9201835625
9,2060-2079,11.551674968750001
9,2080-2099,12.159105656249999
10,2020-2039,12.925226999999998
10,2040-2059,13.407427375
10,2060-2079,13.97643483125
10,2080-2099,14.69774415625
11,2020-2039,14.92414169375
11,2040-2059,15.3898428125
11,2060-2079,16.0275578125
11,2080-2099,16.6526434375
12,2020-2039,16.626804125
12,2040-2059,17.129694000000004
12,2060-2079,17.672229937499996
12,2080-2099,18.265219062499998
