Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,12.4369252775
1,2040-2059,13.4664299375
1,2060-2079,14.5685442625
1,2080-2099,15.847173481249998
2,2020-2039,13.892015574999999
2,2040-2059,14.710808375
2,2060-2079,16.059156812499996
2,2080-2099,17.13641066875
3,2020-2039,17.696940125
3,2040-2059,18.66667364375
3,2060-2079,20.0384795
3,2080-2099,21.097679062500003
4,2020-2039,22.366343406250003
4,2040-2059,23.5912100625
4,2060-2079,25.008504375000005
4,2080-2099,26.295546625000004
5,2020-2039,27.02621625
5,2040-2059,28.174248
5,2060-2079,29.721760375000006
5,2080-2099,31.250928875
6,2020-2039,30.573766125
6,2040-2059,31.9517026875
6,2060-2079,33.45672575
6,2080-2099,34.919590375
7,2020-2039,32.272526562500005
7,2040-2059,33.6580259375
7,2060-2079,35.1205325625
7,2080-2099,36.473172375
8,2020-2039,31.9842609375
8,2040-2059,33.155415874999996
8,2060-2079,34.679430374999995
8,2080-2099,36.149782625
9,2020-2039,29.294313374999998
9,2040-2059,30.4312543125
9,2060-2079,32.0024361875
9,2080-2099,33.4204821875
10,2020-2039,24.8314471875
10,2040-2059,25.8834718125
10,2060-2079,27.609881124999994
10,2080-2099,29.178616875000003
11,2020-2039,19.132053531249998
11,2040-2059,20.146296999999997
11,2060-2079,21.939666499999998
11,2080-2099,23.175620437499997
12,2020-2039,14.367131906249998
12,2040-2059,15.40669460625
12,2060-2079,16.69651229375
12,2080-2099,18.0231490625
