Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,19.1598515625
1,2040-2059,20.195736562500002
1,2060-2079,21.252278812500002
1,2080-2099,22.418567687500005
2,2020-2039,21.035324437499998
2,2040-2059,21.965746062499996
2,2060-2079,23.070699874999995
2,2080-2099,24.234679375
3,2020-2039,22.824621562499996
3,2040-2059,23.749127437500004
3,2060-2079,24.814383625
3,2080-2099,25.959842999999996
4,2020-2039,23.2290276875
4,2040-2059,23.998930749999996
4,2060-2079,25.0371156875
4,2080-2099,26.046033187500004
5,2020-2039,22.869974250000002
5,2040-2059,23.681051562500002
5,2060-2079,24.731283625
5,2080-2099,25.753414187500002
6,2020-2039,22.330123687500002
6,2040-2059,23.2030840625
6,2060-2079,24.289216500000002
6,2080-2099,25.3516645
7,2020-2039,22.074429499999997
7,2040-2059,22.923089937499995
7,2060-2079,24.013429000000006
7,2080-2099,25.0466464375
8,2020-2039,22.168732375
8,2040-2059,23.010431999999998
8,2060-2079,24.0486169375
8,2080-2099,25.072403875
9,2020-2039,22.360912250000002
9,2040-2059,23.191782812499994
9,2060-2079,24.176358187500004
9,2080-2099,25.165310562499993
10,2020-2039,22.3938618125
10,2040-2059,23.2389429375
10,2060-2079,24.205944749999997
10,2080-2099,25.1760454375
11,2020-2039,21.244874999999997
11,2040-2059,22.28429025
11,2060-2079,23.338194687499996
11,2080-2099,24.429173562499997
12,2020-2039,19.151029937500002
12,2040-2059,20.240406625
12,2060-2079,21.373949062500003
12,2080-2099,22.653375125000004
