Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,-22.924404687500004
1,2040-2059,-20.616400375
1,2060-2079,-17.87484271875
1,2080-2099,-15.317679137499999
2,2020-2039,-22.808987499999994
2,2040-2059,-20.8041200625
2,2060-2079,-18.149312562499997
2,2080-2099,-15.532498187500002
3,2020-2039,-17.9527024375
3,2040-2059,-16.467142406249998
3,2060-2079,-14.314986124999997
3,2080-2099,-12.20683710625
4,2020-2039,-9.77998798125
4,2040-2059,-8.570165874999999
4,2060-2079,-6.8891093562500005
4,2080-2099,-5.142121984375
5,2020-2039,-0.7662017782499998
5,2040-2059,0.403609268125
5,2060-2079,1.716758206875
5,2080-2099,3.1308685112499997
6,2020-2039,6.350141712499999
6,2040-2059,7.55100135625
6,2060-2079,8.753509787500002
6,2080-2099,10.080684450000001
7,2020-2039,9.773898100000002
7,2040-2059,10.894728375
7,2060-2079,12.099676124999998
7,2080-2099,13.436075343750002
8,2020-2039,8.044139525
8,2040-2059,9.1423895375
8,2060-2079,10.572310375
8,2080-2099,11.926925374999998
9,2020-2039,3.024473953125
9,2040-2059,4.330138562499999
9,2060-2079,5.7252902374999985
9,2080-2099,7.10556068125
10,2020-2039,-3.92641780625
10,2040-2059,-2.1462213688125
10,2060-2079,-0.33493137250000005
10,2080-2099,1.191158088125
11,2020-2039,-12.005872343750001
11,2040-2059,-9.70779548125
11,2060-2079,-7.376307080625
11,2080-2099,-5.2241730875
12,2020-2039,-19.050453999999995
12,2040-2059,-16.625247187499998
12,2060-2079,-13.783595381249999
12,2080-2099,-11.276917962500002
