Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,21.7759460625
1,2040-2059,22.792663875
1,2060-2079,23.7135928125
1,2080-2099,24.8665848125
2,2020-2039,23.606897874999998
2,2040-2059,24.54825125
2,2060-2079,25.5402823125
2,2080-2099,26.6324605625
3,2020-2039,25.152299187499995
3,2040-2059,26.002006687500003
3,2060-2079,27.060550125
3,2080-2099,28.073903875
4,2020-2039,25.50158425
4,2040-2059,26.2395619375
4,2060-2079,27.220967374999997
4,2080-2099,28.1871059375
5,2020-2039,25.0621055625
5,2040-2059,25.828861687499995
5,2060-2079,26.761832437499997
5,2080-2099,27.725056187499998
6,2020-2039,24.5239869375
6,2040-2059,25.271770749999998
6,2060-2079,26.190403187499996
6,2080-2099,27.156025250000003
7,2020-2039,24.0406760625
7,2040-2059,24.7580434375
7,2060-2079,25.672695375
7,2080-2099,26.5723996875
8,2020-2039,23.719215937499996
8,2040-2059,24.405294124999998
8,2060-2079,25.332424250000003
8,2080-2099,26.174501875000004
9,2020-2039,23.838274312500005
9,2040-2059,24.5537505
9,2060-2079,25.4541745
9,2080-2099,26.325166062500003
10,2020-2039,24.0776634375
10,2040-2059,24.7978885
10,2060-2079,25.7323575625
10,2080-2099,26.580180187500005
11,2020-2039,23.352550625
11,2040-2059,24.202245875
11,2060-2079,25.267148874999997
11,2080-2099,26.2604516875
12,2020-2039,21.5698580625
12,2040-2059,22.575046812500002
12,2060-2079,23.610936312499998
12,2080-2099,24.7652445
