Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,19.1002875625
1,2040-2059,20.118995875
1,2060-2079,21.032789875
1,2080-2099,22.143200874999998
2,2020-2039,20.670795625
2,2040-2059,21.5542805
2,2060-2079,22.574015562500005
2,2080-2099,23.61140525
3,2020-2039,22.3040045625
3,2040-2059,23.197120875000003
3,2060-2079,24.1954735625
3,2080-2099,25.2367805
4,2020-2039,22.8996526875
4,2040-2059,23.667727187500002
4,2060-2079,24.659634062499997
4,2080-2099,25.636594812500004
5,2020-2039,22.7123315625
5,2040-2059,23.473785875
5,2060-2079,24.494345874999997
5,2080-2099,25.4442061875
6,2020-2039,22.2890020625
6,2040-2059,23.104133687500003
6,2060-2079,24.1218298125
6,2080-2099,25.120291187499998
7,2020-2039,22.001369249999996
7,2040-2059,22.7838843125
7,2060-2079,23.779825562499994
7,2080-2099,24.738379125
8,2020-2039,21.922936187500003
8,2040-2059,22.695473562499995
8,2060-2079,23.657752062500002
8,2080-2099,24.593409437500004
9,2020-2039,22.095708874999996
9,2040-2059,22.881415312500003
9,2060-2079,23.814571625000003
9,2080-2099,24.729693187499997
10,2020-2039,22.12924625
10,2040-2059,22.931855687499997
10,2060-2079,23.8661686875
10,2080-2099,24.780987062500003
11,2020-2039,21.1734255
11,2040-2059,22.075085687500007
11,2060-2079,23.090616875
11,2080-2099,24.050603125000002
12,2020-2039,19.290635875
12,2040-2059,20.271921375000005
12,2060-2079,21.350259125
12,2080-2099,22.481616625
