Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,-13.849592806250001
1,2040-2059,-11.4543904625
1,2060-2079,-9.306142024999998
1,2080-2099,-7.543540531875002
2,2020-2039,-13.39902370625
2,2040-2059,-11.576210868750001
2,2060-2079,-9.545518456249999
2,2080-2099,-7.740988323125
3,2020-2039,-9.376530806249999
3,2040-2059,-7.972988525
3,2060-2079,-6.259651550000002
3,2080-2099,-4.92647404375
4,2020-2039,-3.357608739375
4,2040-2059,-2.1357934212500003
4,2060-2079,-0.7649011087500001
4,2080-2099,0.5586611499999998
5,2020-2039,3.4659841062499996
5,2040-2059,4.417917711625
5,2060-2079,5.461958387499999
5,2080-2099,6.57347560625
6,2020-2039,9.30847659375
6,2040-2059,10.12311481875
6,2060-2079,11.237280781250002
6,2080-2099,12.55424503125
7,2020-2039,11.98758771875
7,2040-2059,12.801050281250001
7,2060-2079,13.916511
7,2080-2099,15.125786687500003
8,2020-2039,10.162750718749999
8,2040-2059,11.1133034875
8,2060-2079,12.383858125
8,2080-2099,13.561078062500002
9,2020-2039,5.611127475000001
9,2040-2059,6.800095993749999
9,2060-2079,8.00497349375
9,2080-2099,9.074871568749998
10,2020-2039,0.8761280172500001
10,2040-2059,1.9489931175000001
10,2060-2079,3.20837988125
10,2080-2099,4.49472566875
11,2020-2039,-4.5523994965625
11,2040-2059,-3.3648586375
11,2060-2079,-1.8011632899999999
11,2080-2099,-0.5695201299374998
12,2020-2039,-10.4436824875
12,2040-2059,-8.34272164375
12,2060-2079,-6.639040963499999
12,2080-2099,-4.58713520625
