Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,27.767895625
1,2040-2059,28.420855812499997
1,2060-2079,29.177177375000003
1,2080-2099,29.938983562499995
2,2020-2039,27.629243875
2,2040-2059,28.280822125000004
2,2060-2079,29.0428470625
2,2080-2099,29.8152553125
3,2020-2039,27.718043812500003
3,2040-2059,28.369827937500002
3,2060-2079,29.113033124999994
3,2080-2099,29.900478250000003
4,2020-2039,27.868898250000004
4,2040-2059,28.518634937499996
4,2060-2079,29.292059499999997
4,2080-2099,30.068007499999997
5,2020-2039,28.050691625
5,2040-2059,28.6829229375
5,2060-2079,29.484898687500003
5,2080-2099,30.2648174375
6,2020-2039,28.185816937499997
6,2040-2059,28.809756625000006
6,2060-2079,29.584269937499997
6,2080-2099,30.364059625
7,2020-2039,28.221973812499996
7,2040-2059,28.8142530625
7,2060-2079,29.5858604375
7,2080-2099,30.3656453125
8,2020-2039,28.222593812499994
8,2040-2059,28.874628125
8,2060-2079,29.611502124999998
8,2080-2099,30.38472925
9,2020-2039,28.2803360625
9,2040-2059,28.9107708125
9,2060-2079,29.656375875
9,2080-2099,30.458521000000005
10,2020-2039,28.306218687500003
10,2040-2059,28.936697812500004
10,2060-2079,29.68615575
10,2080-2099,30.4597325625
11,2020-2039,28.253968562500003
11,2040-2059,28.898864624999998
11,2060-2079,29.662292249999997
11,2080-2099,30.4335896875
12,2020-2039,28.087942
12,2040-2059,28.734977249999993
12,2060-2079,29.484625812499996
12,2080-2099,30.263990062500003
