Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,22.537052125000002
1,2040-2059,23.536244749999998
1,2060-2079,24.431092875
1,2080-2099,25.5196920625
2,2020-2039,24.218005125
2,2040-2059,25.199898562499996
2,2060-2079,26.160454062500005
2,2080-2099,27.226301187500006
3,2020-2039,25.745616875
3,2040-2059,26.6872993125
3,2060-2079,27.7344720625
3,2080-2099,28.74594225
4,2020-2039,26.2302468125
4,2040-2059,26.981285875
4,2060-2079,27.965341437499998
4,2080-2099,28.893244437499998
5,2020-2039,25.713036250000002
5,2040-2059,26.4855613125
5,2060-2079,27.4339453125
5,2080-2099,28.366260062500004
6,2020-2039,25.092553874999997
6,2040-2059,25.852507687499998
6,2060-2079,26.773377812499998
6,2080-2099,27.72859625
7,2020-2039,24.564078000000002
7,2040-2059,25.2875751875
7,2060-2079,26.196203374999996
7,2080-2099,27.0951733125
8,2020-2039,24.2163321875
8,2040-2059,24.9219565625
8,2060-2079,25.8438704375
8,2080-2099,26.6950245
9,2020-2039,24.313360125
9,2040-2059,25.0342219375
9,2060-2079,25.937267499999997
9,2080-2099,26.821403
10,2020-2039,24.532482937500003
10,2040-2059,25.25502175
10,2060-2079,26.191216750000002
10,2080-2099,27.034370375
11,2020-2039,23.768930125000004
11,2040-2059,24.626317999999998
11,2060-2079,25.673887874999995
11,2080-2099,26.6662545625
12,2020-2039,22.1576
12,2040-2059,23.088998374999996
12,2060-2079,24.099832062499996
12,2080-2099,25.2602105
