Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,19.928461437499998
1,2040-2059,20.553553062499997
1,2060-2079,21.316407312499997
1,2080-2099,22.30893275
2,2020-2039,20.104472812500003
2,2040-2059,20.833833937500003
2,2060-2079,21.628267875000002
2,2080-2099,22.451355125
3,2020-2039,21.295378187500003
3,2040-2059,21.990166624999993
3,2060-2079,22.9114194375
3,2080-2099,23.923843687499996
4,2020-2039,22.7987830625
4,2040-2059,23.628355937500004
4,2060-2079,24.565565187500003
4,2080-2099,25.5769195
5,2020-2039,23.763870562500003
5,2040-2059,24.488911875000003
5,2060-2079,25.492413625
5,2080-2099,26.514491062500007
6,2020-2039,23.869628312499998
6,2040-2059,24.6910295625
6,2060-2079,25.654583312499994
6,2080-2099,26.60954375
7,2020-2039,23.931143374999998
7,2040-2059,24.795097937499996
7,2060-2079,25.82177975
7,2080-2099,26.816894750000003
8,2020-2039,24.110789562499995
8,2040-2059,24.9864488125
8,2060-2079,26.005882687500005
8,2080-2099,26.977497375
9,2020-2039,23.890757874999995
9,2040-2059,24.677151625
9,2060-2079,25.6413336875
9,2080-2099,26.704222124999998
10,2020-2039,23.250588312499996
10,2040-2059,24.0676946875
10,2060-2079,25.0021395
10,2080-2099,25.999400250000004
11,2020-2039,22.040916750000004
11,2040-2059,22.785928750000004
11,2060-2079,23.698094125
11,2080-2099,24.6374833125
12,2020-2039,20.712217187500002
12,2040-2059,21.3909691875
12,2060-2079,22.318512312499998
12,2080-2099,23.269699249999995
