Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,15.348161937499999
1,2040-2059,16.2520396875
1,2060-2079,17.2852938125
1,2080-2099,18.4326881875
2,2020-2039,15.397963875000004
2,2040-2059,16.18872275
2,2060-2079,17.323431187500006
2,2080-2099,18.3817093125
3,2020-2039,14.386817093749999
3,2040-2059,15.148376531250003
3,2060-2079,16.349833125
3,2080-2099,17.449284625
4,2020-2039,11.594475218749999
4,2040-2059,12.580991031249999
4,2060-2079,13.759834875
4,2080-2099,14.84527025
5,2020-2039,7.201911592499999
5,2040-2059,8.2601181625
5,2060-2079,9.56331698125
5,2080-2099,10.652808025
6,2020-2039,4.241919256375
6,2040-2059,5.0885388125
6,2060-2079,6.36792026875
6,2080-2099,7.373892231250001
7,2020-2039,3.6266086374999995
7,2040-2059,4.485561033562499
7,2060-2079,5.590782517500001
7,2080-2099,6.634143712500001
8,2020-2039,5.1719408
8,2040-2059,6.150508090000001
8,2060-2079,7.158099058125001
8,2080-2099,8.19938006875
9,2020-2039,7.829243329375
9,2040-2059,8.93007536875
9,2060-2079,10.180945150000001
9,2080-2099,11.285376374999998
10,2020-2039,10.48090065625
10,2040-2059,11.592994487499997
10,2060-2079,12.8317163625
10,2080-2099,14.03339540625
11,2020-2039,12.4825241875
11,2040-2059,13.54170265625
11,2060-2079,14.659477281250004
11,2080-2099,15.947762499999998
12,2020-2039,14.2946783125
12,2040-2059,15.0759133125
12,2060-2079,16.208001874999997
12,2080-2099,17.34504934375
