Month,Year,Monthly Min-Temperature - (Celsius)
1,2020-2039,5.92945416875
1,2040-2059,6.769175740000001
1,2060-2079,7.634170248749999
1,2080-2099,8.556311131249998
2,2020-2039,7.299168699999999
2,2040-2059,8.129080925
2,2060-2079,9.21035484375
2,2080-2099,10.2653533375
3,2020-2039,9.6297354375
3,2040-2059,10.579413793750001
3,2060-2079,11.796351925
3,2080-2099,12.761619756250001
4,2020-2039,12.213799468750002
4,2040-2059,13.358913175
4,2060-2079,14.524913631249998
4,2080-2099,15.819225906249999
5,2020-2039,15.731387812500003
5,2040-2059,16.7951104375
5,2060-2079,18.12283325
5,2080-2099,19.4040045625
6,2020-2039,19.9519275
6,2040-2059,20.990354812499998
6,2060-2079,22.358189437500002
6,2080-2099,23.635856375000003
7,2020-2039,23.288880812500004
7,2040-2059,24.538191625
7,2060-2079,26.027340250000005
7,2080-2099,27.452744937499997
8,2020-2039,23.5569620625
8,2040-2059,24.8451006875
8,2060-2079,26.430443187500003
8,2080-2099,27.6508820625
9,2020-2039,20.3901735
9,2040-2059,21.75743175
9,2060-2079,23.351947374999995
9,2080-2099,24.8651429375
10,2020-2039,15.199397749999997
10,2040-2059,16.34212115625
10,2060-2079,17.716623093749998
10,2080-2099,19.1832533125
11,2020-2039,10.169142025000001
11,2040-2059,10.943556068749999
11,2060-2079,12.199237062499998
11,2080-2099,13.4727390625
12,2020-2039,6.820519331250001
12,2040-2059,7.6829668600000005
12,2060-2079,8.649385699999998
12,2080-2099,9.62811694375
