Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Aruba;ABW;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;15669.6160398263;18427.6115299095;22134.0172712515;24837.9509579621;25357.7869437251;26329.3131412118;26401.968740042;26663.2077602359;27272.3100411519;26705.1813209964;26087.7756610939;27190.5014747821;27151.9237278694;26954.404887031;28417.3842120132;26966.0548644166;25508.3027198476;25469.2876015726;27005.5294296216;26979.8853984373;27046.224230202;27427.5785719272;27365.9311941508;24463.6921995023;23512.6025956397;24233.0010815022;23781.2572983852;24635.764947531;24563.2343250816;25822.2513745534;26231.0266768348;26630.2052807325;;;
Afghanistan;AFG;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;330.303552908057;343.080889714587;333.216684486798;357.234719908026;365.284494951006;405.548979051796;412.014286663305;488.300250990155;543.303041863931;528.736648057768;576.190125450699;587.565090150176;583.656192833121;574.184114271258;571.073774523561;571.542505760778;568.342871125336;571.466641151464;
Angola;AGO;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;;;;;;;;;;;;;;;;;;;;;3179.53912630862;2934.3983409449;2831.97274724242;2847.50235465173;2912.665762525;2909.52952662284;2890.01561405532;2904.1301513259;2976.63662969303;2877.33890185971;2685.77913860722;2623.71454945574;2390.80826970707;1759.35347818949;1726.31605022296;1922.41659740388;2113.75121066285;2195.71932106392;2225.68482490823;2201.52992280828;2195.63104363877;2213.68162733811;2433.80490448768;2423.29450431622;2597.45754126006;2883.97881768389;3102.65158022739;3409.50417848833;3652.15426594294;3549.57860280612;3587.88379824396;3579.96008145585;3748.44944492387;3796.88262179845;3843.19824090134;3748.32062295152;3530.30942248245;3409.92928470159;3233.9070176255;3103.49604528244;
Albania;ALB;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;;;;;;;;;;;;;;;;;;;;;1992.29193141135;2064.98366201803;2081.41762946956;2060.25372979627;1992.11089530965;1986.32191372468;2058.12060889689;2001.53265726801;1936.2322073095;2070.28951506789;1838.66748471688;1331.80531341432;1243.60582446625;1370.82607057959;1493.78590178292;1703.28184475531;1869.86587314624;1676.12710708271;1835.64668130129;2085.42599716821;2244.62463172571;2453.62441365203;2572.72143217486;2725.17138911963;2887.37034243453;3062.67388299547;3263.90171311883;3485.32240934607;3775.58131429173;3928.45039149695;4094.3503344202;4209.87480089435;4276.60790388367;4327.37995998728;4413.29689127908;4524.3730858712;4681.82656299267;4864.3106163045;5074.85722194352;5209.36283189526;
Andorra;AND;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;;;;;;;;;;;41701.5444268705;41449.7985565243;42605.7949944759;43744.396232266;44186.4290832146;42711.4745829757;42634.0917910764;42514.4209587348;41901.2714300987;40617.2283412736;40076.7104991884;38494.1831759067;37365.7752340516;36396.0078557637;35450.3115567374;34732.872913185;34384.9106439106;34840.7420976256;35178.8672109271;35460.8900418109;35410.3176062566;34926.5667828861;33923.9841131311;32427.0466237806;32296.1802412276;32577.0673618283;33821.6667720915;36907.4285929324;38196.3937249671;39621.2565388614;40379.390206452;42393.0818204197;42607.056937381;44328.7604494183;46010.1013427567;46880.8061047792;47845.400420286;47594.8281439041;44317.5502434378;41668.8373600629;40852.6667774434;41191.7854116591;39769.5614582283;39143.6896810315;40914.7285238633;42140.9617984695;44107.9563309965;44430.7440094935;45133.7136149095;45887.3021264552;
Arab World;ARB;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;;;;;;;;;;;;;;;;4074.15728660707;4573.94695848627;4793.92086053545;4609.56279909851;4976.44175932705;5259.33042323527;5244.05454518398;4621.84597449167;4175.80343373265;4106.64807706491;3894.86908528964;3960.75588969285;3829.59851609753;3931.77675217246;3914.57466758013;4270.74410210522;4220.20675693236;4350.11759589658;4374.35518165866;4400.11931911578;4384.52851082289;4481.6977118283;4569.02636765747;4707.36437751783;4690.76111965187;4842.61206079694;4814.87582114624;4740.53722818037;4886.34941438461;5224.72916916463;5400.54005027667;5618.12920591447;5734.49210691552;5922.26597752644;5806.18528437373;5934.2906837414;6020.48689375278;6274.11113550431;6333.02744704597;6350.83801415886;6418.02869355086;6506.27123105203;6454.45957130071;6465.47439343427;6437.1668499443;
United Arab Emirates;ARE;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;;;;;;;;;;;;;;;;103604.906761616;103766.654037947;109318.635675083;94683.6793247568;102668.63180644;116232.75297577;113095.337311238;99319.6142653997;89704.038671159;88583.3785405907;80886.4664441653;64972.4226048589;63352.2940320065;58146.7964800485;61588.0867298091;68780.5885485528;65478.7069202228;63853.890761015;61081.3715995434;61843.2137119288;62681.6090675803;63076.6064636338;64864.720318444;61773.8673566819;60291.5089875618;63251.5229870394;60861.2659986951;59187.2069291282;60351.1400473436;60328.3205264375;56092.9202185986;53335.0315740292;47283.9032785234;42456.7958854415;36024.0582294666;33893.303514039;34634.8621429885;35416.8917844949;36978.8330410358;38495.0463523453;40247.7471408685;41045.1111167209;41460.2834462501;41327.3827625282;41420.4830318379;
Argentina;ARG;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;5642.76513813328;5853.17190550128;5711.17933827409;5323.49430875299;5772.64996675285;6286.22934651492;6151.92602594926;6255.18402161641;6460.78745199298;6980.89917797887;7084.18147848151;7368.07758010525;7368.50576960672;7453.75355684331;7740.85592849079;7617.94315128736;7350.8285666498;7743.58231487359;7285.43955621042;7910.36662234598;7908.02261816432;7380.67498356137;7210.34702077923;7403.72720995174;7399.88911933586;6904.64504404204;7214.27070267463;7294.06425599089;7104.18120080538;6497.42554534223;6245.70857662189;6721.27823910953;7157.32831119985;7644.23569200433;7988.64461361092;7666.53000424516;7994.24337081722;8543.02853403286;8772.06320960578;8381.25399829498;8224.11282651363;7776.13787206685;6854.29408086406;7380.4670873289;7962.41230916816;8577.86499429459;9174.50245831661;9901.51188115634;10201.4759370923;9502.24358504659;10385.9644319555;10883.315359489;10649.8372874572;10784.6306992057;10398.6940069464;10568.1578087083;10239.4813479933;10404.2635134208;10043.5085520823;9729.14157413904;
Armenia;ARM;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1795.28422592838;1600.12074396172;948.16030610936;885.216985879883;955.591035098613;1042.58347163728;1120.84988485751;1171.05993764278;1266.41072717579;1316.53041801902;1403.03125693319;1547.25096426637;1761.13404630652;2018.36748633212;2243.08895410475;2571.54737414349;2933.58637167002;3364.7057424114;3627.79670232372;3137.34609774988;3218.37270660563;3370.55110340079;3603.59584818863;3705.35739639054;3819.21778719537;3923.71650214361;3917.37967565773;4198.79474867504;4406.70643383294;4732.06950615408;
American Samoa;ASM;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10551.212572216;10561.3156869179;10586.6823368619;10565.2319198874;10202.9553063961;10535.5519401488;10416.0057817659;10117.0113625969;10271.2245225485;10360.5091546826;9921.80610804858;9640.34446203249;9717.82905631836;9850.56503409338;9589.9798367323;9048.18252237097;9271.71200951825;;
Antigua and Barbuda;ATG;GDP per capita (constant 2010 US$);NY.GDP.PCAP.KD;;;;;;;;;;;;;;;;;;5197.16045587396;5435.74085667369;5882.90063127629;6371.97774644335;6622.02094646504;6618.70671185143;6972.83227808439;7681.74469821619;8268.921407629;9224.11438112467;9841.23461305883;10345.2333490953;10846.9762619047;11080.7257314929;11172.0328868306;11107.9158407469;11462.2294094723;11967.8338837518;11201.7401347059;11685.82371555;12062.0075991371;12370.4666561761;12580.0374687348;13184.9092406389;12337.6049119586;12291.5492619209;12870.947706353;13433.7813762756;14097.096665718;15653.3747162831;16833.7045173582;16558.4579093215;14327.3108496645;13049.2570545735;12618.0791316619;12876.8892883551;12644.6890235017;12976.3314609289;13328.1466479391;13917.9511172561;14220.5021076325;15134.8841569088;15703.028475991;
